,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2017-01-12,3,1,0,2,1,0
2017-01-13,4,0,1,0,2,0
2017-01-14,4,2,2,3,1,0
2017-01-15,7,0,1,4,1,0
2017-01-16,2,3,0,4,0,1
2017-01-17,4,0,1,2,2,0
2017-01-18,1,0,1,3,1,0
2017-01-19,1,1,0,1,0,3
2017-01-20,4,0,0,2,3,0
2017-01-21,3,2,1,3,2,1
2017-01-22,4,2,1,4,4,0
2017-01-23,2,2,0,0,2,1
2017-01-24,1,1,0,2,1,2
2017-01-25,5,1,0,1,0,2
2017-01-26,1,0,0,1,3,1
2017-01-27,4,3,2,4,1,1
2017-01-28,8,1,0,5,3,1
2017-01-29,7,3,1,4,0,1
2017-01-30,5,3,0,4,3,1
2017-01-31,3,4,1,2,1,0
2017-02-01,4,3,0,5,2,1
2017-02-02,3,1,0,4,0,0
2017-02-03,3,3,0,5,5,1
2017-02-04,12,8,0,5,3,3
2017-02-05,13,4,0,4,5,1
2017-02-06,8,2,0,2,3,0
2017-02-07,2,0,0,4,0,1
2017-02-08,6,6,1,5,1,4
2017-02-09,3,9,2,9,2,6
2017-02-10,2,7,0,3,3,3
2017-02-11,13,19,1,14,15,12
2017-02-12,18,5,5,7,6,7
2017-02-13,3,2,1,2,2,2
2017-02-14,3,5,1,2,1,3
2017-02-15,9,4,4,2,1,0
2017-02-16,3,7,0,9,0,2
2017-02-17,7,9,3,3,6,3
2017-02-18,12,18,1,4,2,4
2017-02-19,7,14,2,15,8,6
2017-02-20,10,7,1,4,2,8
2017-02-21,4,3,1,4,1,0
2017-02-22,11,7,1,7,7,6
2017-02-23,10,5,2,4,7,5
2017-02-24,8,18,0,6,2,2
2017-02-25,21,27,1,20,13,21
2017-02-26,13,14,1,11,7,19
2017-02-27,8,6,2,3,3,6
2017-02-28,8,8,1,6,3,5
2017-03-01,13,8,2,9,5,7
2017-03-02,13,8,1,9,5,10
2017-03-03,14,17,6,15,7,13
2017-03-04,21,27,3,17,19,20
2017-03-05,25,26,5,20,12,20
2017-03-06,10,4,1,2,6,4
2017-03-07,9,8,0,8,5,8
2017-03-08,6,8,1,7,5,9
2017-03-09,5,4,2,2,1,12
2017-03-10,9,14,1,6,3,5
2017-03-11,23,22,4,23,21,21
2017-03-12,18,15,4,17,18,14
2017-03-13,9,7,2,10,3,5
2017-03-14,9,6,1,4,5,9
2017-03-15,16,6,1,8,12,7
2017-03-16,8,7,1,6,6,4
2017-03-17,26,25,6,17,13,19
2017-03-18,27,31,5,21,25,25
2017-03-19,31,29,2,15,16,31
2017-03-20,7,11,1,12,9,10
2017-03-21,16,22,2,12,7,12
2017-03-22,11,8,1,8,2,15
2017-03-23,8,7,0,10,6,15
2017-03-24,17,15,0,17,9,10
2017-03-25,42,22,2,37,8,21
2017-03-26,20,26,3,22,11,12
2017-03-27,9,10,1,6,5,7
2017-03-28,7,14,4,14,1,5
2017-03-29,11,2,0,6,7,7
2017-03-30,15,5,0,4,5,9
